"participant","1","2","3","4","5","6","7","8","9","10","11"
"Mentor","N/A","N/A","Dom","N/A","Rue","Eddie","Jay","Alex","Eddie","N/A","N/A"
"Eddie","HIGH","HIGH","LOW","WIN","HIGH","HIGH","LOW","LOW","HIGH","LOW","WINNER"
"Jay","HIGH","IN","IN","IN","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","RUNNER-UP"
"Dom","LOW","IN","HIGH","LOW","LOW","LOW","LOW","OUT",,"IN","RUNNER-UP"
"Arnold","HIGH","HIGH","HIGH","WIN","LOW","IN","HIGH","LOW","LOW","OUT",
"Alex","IN","IN","IN","WIN","HIGH","LOW","LOW","HIGH","OUT",,
"Michelle","IN","IN","WIN","LOW","LOW","IN","QUIT",,,,
"Emilia","IN","LOW","IN","IN","HIGH","OUT",,,,,
"Rue","IN","IN","IN","IN","OUT",,,,,,
"Rosa","IN","IN","LOW","OUT",,,,,,,
"Sita","IN","LOW","OUT",,,,,,,,
"Matthew","LOW","OUT",,,,,,,,,
"Christina","OUT",,,,,,,,,,
