"participant","Week","Week","Week","Week","Week","Week","Week","Week","Week","Week","Week"
"1","2","3","4","5","6","7","8","9","10","11",
"Mentor","N/A","Erin","Tregaye","Monterey","Damiano","Tregaye","Tregaye","Tregaye","Jernard","Jernard","N/A"
"Tregaye","IN","HIGH","LOW","HIGH","HIGH","HIGH","IN","HIGH","IN","LOW","WINNER"
"Jernard","IN","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","LOW","LOW","IN","RUNNER-UP"
"Damiano","IN","HIGH","IN","HIGH","IN","IN","IN","HIGH","IN","IN","RUNNER-UP"
"Yaku","IN","IN","LOW","OUT",,,,,,"OUT",
"Ana","HIGH","HIGH","LOW","HIGH","LOW","IN","LOW","LOW","OUT",,
"Erin","IN","LOW","IN","IN","IN","IN","HIGH","OUT",,,
"Joy","IN","IN","HIGH","IN","HIGH","LOW","OUT",,,,
"Rob","HIGH","HIGH","IN","LOW","LOW","OUT",,,,,
"Monterey","HIGH","LOW","IN","IN","OUT",,,,,,
"Martita","IN","HIGH","OUT",,,,,,,,
"Aaron","LOW","OUT",,,,,,,,,
"Melissa","LOW","OUT",,,,,,,,,
"Havird","OUT",,,,,,,,,,
