"participant","1","2","3","4","5","6","7","8","9"
"Mini","None","Aaron","Adam","Kelsey","Shane","None","None","None","None"
"Aaron","WIN","WIN","HIGH","LOW","LOW","HIGH","HIGH","IN","WINNER"
"Adam","IN","LOW","HIGH","LOW","LOW","HIGH","LOW","IN","RUNNER-UP"
"Lisa","LOW","WIN","WIN","HIGH","IN","LOW","LOW","IN","RUNNER-UP"
"Kelsey","WIN","HIGH","LOW","WIN","WIN","LOW","OUT",,"FAN FAVORITE"
"Shane","LOW","IN","IN","HIGH","WIN","OUT",,,
"Jennifer","IN","IN","LOW","LOW","OUT",,,,
"Nipa","LOW","LOW","LOW","OUT",,,,,
"Jeffrey","HIGH","LOW","OUT",,,,,,
"Kevin","IN","OUT",,,,,,,
"Cory","OUT",,,,,,,,
