"participant","1","2","3","4","5","6","7","8","9","10"
"Camera","Aria","None","Aarti","Brianna","Aarti","Brad","Aarti","Aria","N/A","N/A"
"Aarti","IN","WIN","HIGH","WIN","HIGH","LOW","WIN","LOW","WIN","WINNER"
"Herb","IN","IN","WIN","LOW","IN","LOW","LOW","HIGH","LOW","RUNNER-UP"
"Tom","IN","IN","IN","IN","HIGH","IN","LOW","WIN","WIN","RUNNER-UP"
"Aria","WIN","HIGH","LOW","WIN","LOW","IN","LOW","LOW","OUT",
"Brad","IN","IN","HIGH","WIN","LOW","WIN","HIGH","OUT",,
"Serena","IN","HIGH","LOW","LOW","WIN","IN","OUT",,,
"Brianna","IN","IN","WIN","IN","WIN","OUT",,,,
"Paul","IN","LOW","LOW","IN","OUT",,,,,
"DAS","LOW","HIGH","IN","OUT",,,,,,
"Dzintra","IN","LOW","OUT",,,,,,,
"Doreen","LOW","OUT",,,,,,,,
"Alexis","OUT",,,,,,,,,
