"participant","1","2","3","4","5","6","7","8","9","10","11","11"
"Camera","Orchid","Penny","Jyll","Jyll","None","N/A","Whitney","Jyll","Jeff","N/A","Susie","Susie"
"Jeff","WIN","IN","WIN","WIN","HIGH","IN","IN","WIN","WIN","LOW","IN","WINNER"
"Susie","IN","IN","LOW","WIN","WIN","HIGH","IN","LOW","HIGH","WIN","WIN","RUNNER-UP"
"Vic","LOW","IN","WIN","WIN","HIGH","WIN","IN","LOW","HIGH","WIN","OUT",
"Mary Beth","IN","WIN","LOW","WIN","IN","LOW","LOW","LOW","LOW","OUT",,
"Whitney","IN","WIN","IN","LOW","IN","LOW","IN","HIGH","OUT",,,
"Jyll","LOW","IN","IN","IN","LOW","IN","LOW","OUT",,,,
"Penny","IN","IN","WIN","LOW","IN","HIGH","OUT",,,,,
"Chris","IN","LOW","WIN","IN","IN","IN","OUT",,,,,
"Orchid","WIN","IN","IN","WIN","LOW","OUT",,,,,,
"Justin D.","IN","IN","WIN","LOW","OUT",,,,,,,
"Justin B.","IN","WIN","WIN","OUT",,,,,,,,
"Alicia","IN","LOW","OUT",,,,,,,,,
"Katy","IN","OUT",,,,,,,,,,
"Juba","WIN","OUT",,,,,,,,,,
"Howie","OUT",,,,,,,,,,,
