"participant","1","2","3","4","5","6","7","8","9","10","11"
"Damaris","IN","IN","SAFE","IN","IN","HIGH","IN","IN","IN","IN","WINNER"
"Rodney","IN","IN","SAFE","LOW","IN","LOW","IN","LOW","IN","IN","RUNNER-UP"
"Russell","LOW","HIGH","LOW","HIGH","LOW","HIGH","LOW","LOW","HIGH","IN","RUNNER-UP"
"Stacey","HIGH","HIGH","LOW","HIGH","WIN","HIGH","SAFE","IN","IN","OUT",
"Nikki","HIGH","LOW","HIGH","HIGH","IN","LOW","WIN","IN","OUT",,
"Lovely","IN","IN","LOW","OUT",,,,"OUT",,,
"Chad","HIGH","HIGH","HIGH","IN","IN","LOW","OUT",,,,
"Chris","IN","IN","IN","IN","IN","OUT",,,,,
"Viet","IN","IN","IN","LOW","OUT",,,,,,
"Danushka","LOW","LOW","OUT",,,,,,,,
"Andres","IN","OUT",,,,,,,,,
"Daniela","OUT",,,,,,,,,,
