participant,Week,Week,Week,Week,Week,Week,Week,Week,Week,Week
2,3,4,5,6,7,8,9,10,11,
N/A,N/A,N/A,N/A,Matthew,Amy,Jason,Amy,Matthew,Cory,N/A
HIGH,IN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,IN,IN,WINNER
IN,IN,IN,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,RUNNER-UP
IN,HIGH,IN,IN,IN,LOW,IN,OUT,,IN,RUNNER-UP
IN,LOW,IN,IN,HIGH,LOW,HIGH,HIGH,IN,OUT,
HIGH,HIGH,HIGH,IN,HIGH,LOW,LOW,LOW,OUT,,
IN,IN,HIGH,HIGH,LOW,LOW,OUT,,,,
IN,HIGH,IN,LOW,IN,OUT,,,,,
HIGH,LOW,LOW,HIGH,OUT,,,,,,
IN,HIGH,LOW,OUT,,,,,,,
IN,IN,OUT,,,,,,,,
LOW,OUT,,,,,,,,,
LOW,OUT,,,,,,,,,
OUT,,,,,,,,,,
