participant,1,2,3,4,5,6[1],7,8,9,10
John,NEXT,SB,NEXT,NEXT,NEXT,LOW,LOW,FAVE,LOW,WINNER
Brendan,NEXT,FAVE,LOW,SB,FAVE,SB,FAVE,NEXT,FAVE,Runner Up
James,NEXT,FAVE,SB,NEXT,NEXT,LOW,LOW,SB,SB,Runner Up
Danny,NEXT,NEXT,NEXT,FAVE,LOW,FAVE,SB,LOW,OUT,
Cathryn,FAVE,NEXT,NEXT,NEXT,FAVE,NEXT,LOW,OUT,,
Ryan,NEXT,NEXT,NEXT,LOW,SB,NEXT,OUT,,,
Sarah-Jane,NEXT,NEXT,NEXT,NEXT,LOW,LOW,OUT,,,
Manisha,NEXT,NEXT,NEXT,LOW,OUT,,,,,
Stuart,NEXT,NEXT,FAVE,OUT,,,,,,
Victoria,SB,LOW,OUT,,,,,,,
Peter,NEXT,OUT,,,,,,,,
Natasha,OUT,,,,,,,,,
