participant,1,2,3,4,5,6,7,8,9,10
Nadiya,FAVE,NEXT,NEXT,FAVE,SB,LOW,FAVE,SB,SB,WINNER
Ian,NEXT,SB,SB,SB,NEXT,NEXT,FAVE,NEXT,LOW,Runner Up
Tamal,FAVE,NEXT,FAVE,FAVE,NEXT,NEXT,SB,FAVE,FAVE,Runner Up
Flora,FAVE,NEXT,NEXT,NEXT,LOW,FAVE,NEXT,LOW,OUT,
Paul,NEXT,LOW,FAVE,LOW,FAVE,NEXT,LOW,OUT,,
Mat,NEXT,FAVE,LOW,NEXT,NEXT,SB,OUT,,,
Alvin,NEXT,NEXT,FAVE,LOW,NEXT,OUT,,,,
Ugnė,LOW,NEXT,NEXT,NEXT,OUT,,,,,
Sandy,NEXT,FAVE,NEXT,OUT,,,,,,
Dorret,LOW,LOW,OUT,,,,,,,
Marie,SB,OUT,,,,,,,,
Stu,OUT,,,,,,,,,
