"participant","1501","1502","1503","1504","1505","1506","1507","1508","1509","1510","1511","1512","1513","1514","1515","1516"
"Ariel","WIN","NOM","LOSE","LOSE","LOSE","BoW","LOSE","WIN","NOM","LOSE","LOSE","WIN","WIN","IN","IN","WINNER"
"Kristin","WIN","LOSE","LOSE","LOSE","NOM","NOM","LOSE","WIN","LOSE","LOSE","LOSE","WIN","WIN","IN","IN","RUNNER-UP"
"Ashley","WIN","LOSE","LOSE","LOSE","LOSE","LOSE","LOSE","WIN","LOSE","LOSE","NOM","WIN","WIN","IN","OUT",
"Jared","LOSE","WIN","WIN","WIN","LOSE","BoW","NOM","NOM","WIN","LOSE","WIN","NOM","LOSE","OUT",,
"Manda","WIN","LOSE","LOSE","LOSE","NOM","LOSE","LOSE","NOM","WIN","LOSE","WIN","LOSE","NOM","OUT",,
"Dannie","WIN","LOSE","LOSE","LOSE","LOSE","LOSE","NOM","WIN","WIN","LOSE","WIN","LOSE","OUT",,,
"Frank","LOSE","WIN","WIN","WIN","LOSE","LOSE","LOSE","LOSE","WIN","NOM","WIN","OUT",,,,
"Jackie","WIN","LOSE","LOSE","NOM","LOSE","NOM","LOSE","WIN","NOM","LOSE","OUT",,,,,
"Chad","LOSE","WIN","WIN","WIN","LOSE","LOSE","NOM","LOSE","LOSE","OUT",,,,,,
"Joe","LOSE","WIN","WIN","WIN","NOM","NOM","LOSE","LOSE","OUT",,,,,,,
"Hassan","LOSE","WIN","WIN","WIN","LOSE","LOSE","OUT",,,,,,,,,
"Eddie","LOSE","WIN","WIN","WIN","LOSE","OUT",,,,,,,,,,
"Alan","LOSE","WIN","WIN","WIN","OUT",,,,,,,,,,,
"Kevin","NOM","WIN","WIN","WIN","OUT",,,,,,,,,,,
"Meese","WIN","NOM","NOM","OUT",,,,,,,,,,,,
"Vanessa","WIN","LOSE","OUT",,,,,,,,,,,,,
"Sherkenna","WIN","OUT",,,,,,,,,,,,,,
"Mark","OUT",,,,,,,,,,,,,,,
