"participant","301","302","303","304","305","306","307","308","309","310"
"Rock","WIN","BoW","WIN","BoW","WIN","LOSE","LOSE","NOM","IN","WINNER"
"Bonnie","LOSE","WIN","LOSE","NOM","NOM","WIN","NOM","BoW","IN","RUNNER-UP"
"Jen","LOSE","WIN","NOM","BoW","BoW","WIN","LOSE","IN","OUT",
"Julia","LOSE","WIN","NOM","LOSE","LOSE","WIN","BoW","OUT",,
"Josh","WIN","NOM","WIN","NOM","WIN","NOM","LOSE","OUT",,
"Brad","WIN","LOSE","WIN","LOSE","WIN","NOM","OUT",,,
"Melissa","BoW","WIN","LOSE","NOM","NOM","OUT",,,,
"Vinnie","WIN","LOSE","WIN","OUT",,,,,,
"Joanna","NOM","WIN","OUT",,,,,,,
"Aaron","WIN","LOSE","LEFT",,,,,,,
"Eddie","WIN","OUT",,,,,,,,
"Tiffany","OUT",,,,,,,,,
