"participant","801","802","803","804","805","806","807","808","809","810","811","812","813","814","815"
"Nona","LOSE","WIN","LOSE","LOSE","LOSE","NOM","NOM","WIN","WIN","LOSE","IN","IN","IN","IN","WINNER"
"Russell","LOSE","LOSE","WIN","LOSE","WIN","LOSE","WIN","LOSE","NOM","LOSE","IN","IN","NOM","IN","RUNNER-UP"
"Jillian","LOSE","WIN","LOSE","LOSE","LOSE","LOSE","WIN","WIN","WIN","LOSE","IN","IN","IN","OUT",
"Trev","NOM","LOSE","WIN","LOSE","WIN","LOSE","WIN","WIN","BoW","NOM","NOM","NOM","NOM","OUT",
"Gail","LOSE","WIN","LOSE","LOSE","LOSE","LOSE","WIN","WIN","WIN","NOM","IN","OUT",,,
"Sabrina","NOM","WIN","NOM","NOM","BoW","NOM","NOM","WIN","WIN","NOM","OUT",,,,
"Vinny","LOSE","NOM","WIN","LOSE","WIN","LOSE","WIN","NOM","LOSE","OUT",,,,,
"Rob","LOSE","LOSE","WIN","LOSE","WIN","LOSE","NOM","NOM","OUT",,,,,,
"Boris","LOSE","NOM","WIN","NOM","WIN","NOM","NOM","OUT",,,,,,,
"Melissa","LOSE","WIN","LOSE","NOM","NOM","OUT",,,,,,,,,
"Emily","LOSE","WIN","NOM","LOSE","OUT",,,,,,,,,,
"Louis","LOSE","LOSE","WIN","OUT",,,,,,,,,,,
"Raj","NOM","NOM","OUT",,,,,,,,,,,,
"Curtis","LOSE","OUT",,,,,,,,,,,,,
"Lisa","OUT",,,,,,,,,,,,,,
"Antonia","LEFT",,,,,,,,,,,,,,
