"participant","Age","Occupation","Hometown"
"Kristin Barone","27","Line Cook","Chicago, Illinois"
"Jared Bobkin","28","Line Cook","Oak Park, Michigan"
"Sherkenna Buggs","30","Personal Chef","Grand Junction, Tennessee"
"Franklin ""Frank"" Cala","25","Marine Chef","Brooklyn, New York"
"Melissa ""Meese"" Davis","25","College Chef","Upper Darby, Pennsylvania"
"Jacqueline ""Jackie"" Fuchs","32","Line Cook","Jersey City, New Jersey"
"Chad Gelso","25","Sous Chef","Philadelphia, Pennsylvania"
"Danielle ""Dannie"" Harrison","30","Line Cook","Philadelphia, Pennsylvania"
"Edward ""Eddie"" Jaskowiak","27","Sous Chef","Philadelphia, Pennsylvania"
"Ariel Malone","26","Country Club Chef","Hackensack, New Jersey"
"Hassan Musselmani","24","Catering Executive Chef","Detroit, Michigan"
"Ashley Nickell","27","Chef de Cuisine","Orlando, Florida"
"Amanda ""Manda"" Palomino","30","Sous Chef","Atlantic City, New Jersey"
"Mark Paras","27","Line Cook","Anaheim, California"
"Alan Parker","42","Sous Chef","Lancaster, Pennsylvania"
"Joseph ""Joe"" Ricci","31","Sous Chef","Philadelphia, Pennsylvania"
"Kevin Ridlon","29","Culinary Manager","Warwick, Rhode Island"
"Vanessa Soltero","33","Airport Chef","Los Angeles, California"
