"participant","Age","Hometown","Competed","Finished"
"Robyn Almodovar","36","Fort Lauderdale, Florida","Season 10","6th"
"Jared Bobkin","31","Troy, Michigan","Season 15","4th"
"Nicholas ""Nick"" Peters Bond","28","Newburyport, Massachusetts","Season 14","5th"
"Dana Cohen","32","Emerson, New Jersey","Season 10","3rd"
"Giovanni Filippone","46","Santa Rosa Beach, Florida","Season 5","6th"
"Elise Harris","32","Stafford, Virginia","Season 9","3rd"
"Vincent ""Van"" Hurd","34","South Glastonbury, Connecticut","Season 6","6th"
"Benjamin Knack","41","San Antonio, Texas","Season 7","3rd"
"Barbra ""Barbie"" Marshall","39","Strasburg, Pennsylvania","Season 10","4th"
"Milton ""Milly"" Medley","37","Philadelphia, Pennsylvania","Season 14","4th"
"Ashley Nickell","29","Orlando, Florida","Season 15","3rd"
"Jennifer Normant","40","Burlington, Massachusetts","Season 9","5th"
"Amanda ""Manda"" Palomino","32","Atlantic City, New Jersey","Season 15","5th"
"Michelle Tribble","26","Dallas, Texas","Season 14","3rd"
"Joshua ""Josh"" Trovato","28","Los Angeles, California","Season 14","6th"
"Benjamin ""Ben"" Walanka","36","Overland Park, Kansas","Season 5","4th"
