"participant","Age (at time of filming)","Occupation","Hometown"
"Giacomo Alfieri","21","Pizza chef","Euless, Texas"
"Rachel Brown †","39","Personal chef","Dallas, Texas"
"Virginia Dalbeck","25","Salad chef","New York, New York"
"Gabriel ""Gabe"" Gagliardi","27","Marketing executive","Chicago, Illinois"
"Keith Greene †","28","Chef/bartender","Southampton, New York"
"Paula ""Polly"" Holladay","43","Caterer","Ben Franklin, Texas"
"Sara Horowitz","31","Deli manager","Dallas, Texas"
"Maribel Miller","31","Cafeteria chef","Brooklyn, New York"
"Thomas ""Tom"" Pauley","43","Former stockbroker","Belleville, New Jersey"
"Lawrence ""Larry"" Sik","38","Fishmonger","Arlington, Texas"
"Garrett Telle","27","Executive chef","Cedar Park, Texas"
"Heather West","25","Sous chef","Port Jefferson, New York"
