participant,1001,1002,1003,1004,1005,1006,1008,1009,1011,1012,1014,1015,1016,1017,1018,1019
Christina,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,LOSE,WIN,LOSE,LOSE,WIN,IN,IN,IN,WINNER
Justin,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,NOM,IN,IN,IN,RUNNER-UP
Dana,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,LOSE,WIN,LOSE,LOSE,WIN,IN,IN,OUT,
Barbie,BoB,NOM,NOM,LOSE,NOM,WIN,WIN,LOSE,WIN,NOM,LOSE,WIN,IN,NOM,OUT,
Clemenza,LOSE,LOSE,WIN,LOSE,LOSE,NOM,NOM,LOSE,NOM,NOM,LOSE,NOM,NOM,OUT,,
Robyn,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,NOM,LOSE,NOM,NOM,NOM,OUT,,,
Brian,LOSE,LOSE,WIN,NOM,LOSE,LOSE,NOM,LOSE,LOSE,LOSE,LOSE,OUT,,,,
Kimmie,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,LOSE,WIN,LOSE,OUT,,,,,
Tiffany,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,NOM,WIN,OUT,,,,,,
Royce,NOM,NOM,WIN,LOSE,LOSE,LOSE,LOSE,NOM,OUT,,,,,,,
Patrick,LOSE,LOSE,WIN,LOSE,NOM,LOSE,NOM,OUT,,,,,,,,
Roshni,WIN,NOM,NOM,NOM,LOSE,BoW,OUT,,,,,,,,,
Guy,LOSE,BoW,WIN,LOSE,NOM,OUT,,,,,,,,,,
Danielle,WIN,LOSE,LOSE,NOM,OUT,,,,,,,,,,,
Don,NOM,LOSE,WIN,OUT,,,,,,,,,,,,
Briana,WIN,LOSE,OUT,,,,,,,,,,,,,
Chris,LOSE,OUT,,,,,,,,,,,,,,
Tavon,OUT,,,,,,,,,,,,,,,
