participant,1101,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1116,1117,1119,1120,1121
Ja'Nel,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,WIN,LOSE,WIN,WIN,IN,NOM,IN,WINNER
Mary,WIN,NOM,LOSE,NOM,NOM,LOSE,WIN,LOSE,LOSE,LOSE,WIN,LOSE,WIN,WIN,IN,NOM,IN,RUNNER-UP
Jon,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,BoW,WIN,IN,IN,OUT,
Cyndi,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,LOSE,NOM,LOSE,WIN,LOSE,WIN,NOM,NOM,IN,OUT,
Susan,WIN,LOSE,LOSE,LOSE,LOSE,NOM,WIN,LOSE,LOSE,LOSE,WIN,NOM,WIN,NOM,NOM,OUT,,
Zach,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,WIN,NOM,NOM,NOM,LOSE,NOM,OUT,,,,
Anthony,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,OUT,,,,,
Nedra,WIN,LOSE,LOSE,LOSE,NOM,LOSE,WIN,LOSE,LOSE,NOM,WIN,OUT,,,,,,
Michael,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,OUT,,,,,,,
Ray,LOSE,LOSE,WIN,WIN,NOM,NOM,LOSE,WIN,LOSE,OUT,,,,,,,,
Barret,LOSE,LOSE,WIN,WIN,LOSE,LOSE,NOM,WIN,OUT,,,,,,,,,
Amanda,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,NOM,OUT,,,,,,,,,
Jacqueline,WIN,LOSE,NOM,NOM,LOSE,LOSE,WIN,OUT,,,,,,,,,,
Dan,LOSE,LOSE,WIN,WIN,NOM,NOM,OUT,,,,,,,,,,,
Jessica,WIN,LOSE,NOM,LOSE,LOSE,OUT,,,,,,,,,,,,
Jeremy,NOM,NOM,WIN,OUT,,,,,,,,,,,,,,
Danielle,WIN,NOM,OUT,,,,,,,,,,,,,,,
Christian,LOSE,OUT,,,,,,,,,,,,,,,,
Gina,WIN,LEFT,,,,,,,,,,,,,,,,
Sebastian,OUT,,,,,,,,,,,,,,,,,
