participant,1701,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716
Michelle,LOSE,LOSE,WIN,WIN,WIN,IN,LOSE,LOSE,LOSE,NOM,IN,BoB,IN,IN,WINNER
Benjamin,WIN,WIN,LOSE,WIN,LOSE,IN,WIN,LOSE,WIN,WIN,IN,IN,IN,IN,RUNNER-UP
Nick,WIN,WIN,LOSE,WIN,LOSE,IN,WIN,LOSE,WIN,WIN,IN,IN,IN,OUT,
Milly,WIN,WIN,LOSE,WIN,LOSE,NOM,WIN,NOM,WIN,WIN,IN,NOM,OUT,,
Robyn,LOSE,NOM,WIN,WIN,NOM,NOM,WIN,NOM,WIN,WIN,IN,OUT,,,
Jennifer,LOSE,LOSE,WIN,WIN,WIN,IN,LOSE,LOSE,LOSE,LOSE,OUT,,,,
Elise,NOM,LOSE,WIN,WIN,WIN,NOM,LOSE,NOM,NOM,NOM,OUT,,,,
Dana,LOSE,LOSE,WIN,WIN,WIN,IN,LOSE,LOSE,LOSE,OUT,,,,,
Barbie,LOSE,NOM,WIN,WIN,WIN,NOM,NOM,NOM,OUT,,,,,,
Van,WIN,WIN,LOSE,WIN,LOSE,IN,WIN,OUT,,,,,,,
Manda,NOM,NOM,WIN,WIN,WIN,NOM,OUT,,,,,,,,
Giovanni,WIN,WIN,NOM,WIN,LOSE,OUT,,,,,,,,,
Jared,WIN,WIN,LOSE,WIN,OUT,,,,,,,,,,
Josh,WIN,WIN,NOM,OUT,,,,,,,,,,,
Ashley,LOSE,OUT,,,,,,,,,,,,,
Ben,OUT,,,,,,,,,,,,,,
