participant,401,402,403,404,405,406,407,408,409,410,411,412,413,414
Christina,WIN,NOM,BoW,WIN,NOM,WIN,WIN,NOM,WIN,NOM,BoB,IN,NOM,WINNER
Petrozza,LOSE,WIN,BoW,LOSE,WIN,WIN,NOM,WIN,BoW,IN,IN,IN,IN,RUNNER-UP
Corey,WIN,BoW,LOSE,WIN,WIN,WIN,WIN,BoW,WIN,NOM,IN,NOM,OUT,
Jen,WIN,NOM,LOSE,WIN,WIN,WIN,WIN,WIN,NOM,IN,NOM,OUT,,
Bobby,NOM,WIN,LOSE,BoW,WIN,WIN,LOSE,WIN,LOSE,IN,OUT,,,
Matt,LOSE,WIN,LOSE,NOM,WIN,NOM,WIN,NOM,WIN,OUT,,,,
Louross,BoW,WIN,LOSE,LOSE,NOM,WIN,NOM,WIN,OUT,,,,,
Rosann,WIN,LOSE,LOSE,WIN,WIN,NOM,WIN,OUT,,,,,,
Ben,LOSE,WIN,LOSE,NOM,WIN,WIN,OUT,,,,,,,
Shayna,WIN,LOSE,LOSE,WIN,WIN,OUT,,,,,,,,
Vanessa,WIN,LOSE,NOM,WIN,LEFT,,,,,,,,,
Craig,LOSE,WIN,LOSE,OUT,,,,,,,,,,
Jason,LOSE,WIN,OUT,,,,,,,,,,,
Sharon,WIN,OUT,,,,,,,,,,,,
Dominic,OUT,,,,,,,,,,,,,
