"participant","4","4","5","6","6","7","8","8","9","10","10","11","11","12","12","13"
"Whitney","WIN","IN","PT","HIGH","IN","PT","IN","LOW","WIN","HIGH","WIN","LOW","LOW","IMM","WIN","WINNER"
"David","IN","IN","PT","IN","IN","WIN","IN","IN","WIN","IN","IN","WIN","IMM","WIN","IMM","RUNNER-UP"
"Lee","IN","IN","WIN","IN","IN","PT","WIN","WIN","LOW","IN","LOW","HIGH","IMM","IMM","ELIM",
"IN","IN","WIN","IN","IN","WIN","HIGH","LOW","WIN","WIN","LOW","IN","IMM","ELIM",,,
"Sharone","IN","IN","PT","WIN","IMM","WIN","HIGH","IN","WIN","HIGH","IN","LOW","ELIM",,,
"Mike","IN","WIN","WIN","IN","LOW","WIN","IN","IN","PT","IN","ELIM",,,,,
"Jake","HIGH","IN","WIN","HIGH","WIN","PT","IN","IN","ELIM",,,,,,,
"IN","IN","WIN","IN","IN","PT","IN","LOW","ELIM",,,,,,,,
"Slim","IN","IN","PT","IN","LOW","WIN","IN","ELIM",,,,,,,,
"Tony","IN","IN","WIN","IN","IN","ELIM",,,,,,,,,,
"Faruq","IN","LOW","PT","IN","ELIM",,,,,,,,,,,
"Jenna","IN","IN","ELIM",,,,,,,,,,,,,
"Avis","IN","ELIM",,,,,,,,,,,,,,
"HIGH","ELIM",,,,,,,,,,,,,,,
