"participant","4","4","5","6","6","7","8","8","9","10","10","11","11","12","13","13","14","15","15","16","17","17","18","19","19","20"
"Christine","IN","IN","PT","HIGH","WIN","WIN","IN","IN","IN","IN","IN","IN","LOW","WIN","IN","LOW","IMM","HIGH","IN","WIN","HIGH","WIN","WIN","WIN","LOW","WINNER"
"Josh","IN","IN","WIN","IN","WIN","PT","IN","IN","IN","IN","IN","HIGH","IN","ELIM",,,"RET","IN","LOW","LOW","WIN","LOW","LOW","HIGH","WIN","RUNNER-UP"
"Becky","IN","IN","WIN","HIGH","IN","WIN","HIGH","LOW","WIN","WIN","IN","IN","IN","LOW","HIGH","IN","IMM","HIGH","WIN","WIN","IN","LOW","WIN","LOW","ELIM",
"Frank","IN","WIN","PT","IN","LOW","NPT","HIGH","IN","WIN","HIGH","IN","IN","WIN","WIN","WIN","IMM","IMM","IN","WIN","NPT","IN","HIGH","ELIM",,,
"Monti","IN","IN","WIN","IN","IN","NPT","IN","IN","PT","IN","WIN","IN","WIN","PT","IN","WIN","IMM","IN","IN","WIN","HIGH","ELIM",,,,
"David","IN","WIN","WIN","IN","IN","NPT","IN","IN","PT","IN","LOW","IN","LOW","WIN","HIGH","IN","IMM","WIN","LOW","ELIM",,,,,,
"Felix","WIN","IMM","PT","IN","IN","WIN","IN","LOW","IN","IN","IN","WIN","IN","NPT","IN","WIN","IMM","IN","ELIM",,,,,,,
"Stacey","IN","IN","NPT","IN","IN","WIN","IN","WIN","WIN","IN","IN","HIGH","IN","WIN","IN","ELIM",,,,,,,,,,
"Tali","IN","LOW","PT","IN","LOW","LOW","IN","IN","WIN","IN","IN","IN","ELIM",,,,,,,,,,,,,
"Mike","IN","IN","WIN","IN","LOW","WIN","IN","IN","IN","HIGH","ELIM",,,,,,,,,,,,,,,
"IN","IN","LOW","IN","IN","WIN","WIN","IMM","LOW","IN","ELIM",,,,,,,,,,,,,,,,
"Anna","IN","IN","WIN","IN","IN","PT","IN","IN","ELIM",,,,,,,,,,,,,,,,,
"Scott","LOW","IN","LOW","IN","IN","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,
"Ryan","LOW","IN","WIN","WIN","IMM","ELIM",,,,,,,,,,,,,,,,,,,,
"Helene","IN","LOW","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,
"Michael","IN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,
"Dave","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,
"Samantha","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,
