"participant","4","4","5","6","6","7","8","9","9","10","11","11","12","13","13","14","15","15","16","17","17","18","19","19","20","21","21","22","22","23","24","24","25"
"Luca","IN","IN","WIN","WIN","IMM","LOW","LOW","IN","IN","WIN","IN","LOW","NPT","IN","IN","PT","IN","IN","WIN","WIN","IMM","IMM","HIGH","IN","WIN","HIGH","WIN","WIN","IMM","WIN","LOW","LOW","WINNER"
"Natasha","WIN","IMM","WIN","IN","IN","LOW","WIN","IN","IN","NPT","IN","WIN","WIN","IN","IN","WIN","HIGH","WIN","WIN","HIGH","WIN","IMM","IN","WIN","WIN","IN","IN","IN","LOW","WIN","LOW","WIN","RUNNER-UP"
"Jessie","IN","WIN","WIN","IN","LOW","WIN","IMM","IN","WIN","WIN","HIGH","IN","NPT","IN","WIN","WIN","IN","IN","LOW","HIGH","LOW","IMM","IN","LOW","WIN","HIGH","HIGH","WIN","IMM","LOW","WIN","ELIM",
"Krissi","HIGH","IN","PT","IN","IN","PT","IMM","IN","WIN","NPT","IN","LOW","IMM","IN","LOW","PT","HIGH","IN","NPT","IN","WIN","IMM","WIN","IMM","LOW","IN","IN","IN","LOW","ELIM",,,
"James","IN","IN","NPT","HIGH","IN","WIN","IMM","IN","IN","LOW","IN","WIN","NPT","IN","LOW","WIN","IN","LOW","WIN","IN","IN","IMM","IN","IN","PT","WIN","IMM","IN","ELIM",,,,
"Bri","IN","IN","WIN","IN","IN","PT","IMM","IN","IN","WIN","IN","IN","IMM","WIN","IMM","LOW","IN","WIN","ELIM",,,"RET","IN","WIN","ELIM",,,,,,,,
"Jordan","IN","WIN","NPT","IN","IN","NPT","IMM","HIGH","IN","PT","IN","IN","WIN","IN","IN","NPT","IN","LOW","PT","IN","IN","IMM","HIGH","ELIM",,,,,,,,,
"Eddie","IN","IN","PT","IN","IN","WIN","IMM","WIN","IMM","WIN","IN","IN","WIN","HIGH","IN","WIN","WIN","IMM","WIN","IN","ELIM",,,,,,,,,,,,
"Bethy","IN","IN","WIN","IN","WIN","WIN","IMM","IN","IN","LOW","IN","IN","WIN","IN","IN","WIN","IN","ELIM",,,,,,,,,,,,,,,
"Savannah","IN","IMM","LOW","IN","IN","WIN","IMM","IN","IN","WIN","IN","IN","WIN","HIGH","IN","ELIM",,,,,,,,,,,,,,,,,
"Lynn","IN","IN","WIN","IN","IN","WIN","IMM","IN","LOW","WIN","WIN","IMM","LOW","IN","ELIM",,,,,,,,,,,,,,,,,,
"Jonny","IN","IN","LOW","IN","IN","WIN","IMM","IN","LOW","NPT","HIGH","IN","ELIM",,,,,,,,,,,,,,,,,,,,
"Beth","IN","IN","WIN","HIGH","IN","LOW","WIN","IN","LOW","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,
"Bime","HIGH","IN","WIN","IN","WIN","NPT","IMM","HIGH","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,
"Howard","IN","LOW","NPT","LOW","IN","WIN","IMM","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,
"Kathy","IN","IN","PT","IN","LOW","LOW","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,,
"Malcolm","IN","LOW","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adriana","IN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sasha","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
