"participant","3","3","4","5","5","6","6","7","8","8","9","10","11","11","12","12","13","13","14","14","15","16","16","17","/"
"Shaun","IN","IN","IN","IN","IN","IN","IMM","WIN","WIN","IMM","PT","PT","IN","WIN","WIN","IMM","IN","IMM","IN","LOW","PT","WIN","IMM","WIN","WINNER"
"Brandi","IN","IMM","WIN","IN","LOW","IN","IMM","WIN","HIGH","IMM","WIN","WIN","IN","IN","HIGH","WIN","IN","IMM","WIN","IMM","WIN","IN","WIN","WIN","RUNNERS-UP"
"IN","IN","WIN","IN","IMM","IN","IMM","PT","IN","IN","WIN","WIN","IN","LOW","HIGH","WIN","IN","IMM","HIGH","WIN","WIN","IN","LOW","PT",,
"Tanorria","IN","IMM","WIN","WIN","IMM","IN","IMM","PT","IN","IN","LOW","WIN","HIGH","IN","IN","LOW","LOW","IN","HIGH","IN","WIN","HIGH","HIGH","ELIM",
"Dan","IN","IN","LOW","IN","IN","IN","IMM","WIN","IN","IN","PT","WIN","HIGH","IN","IN","IN","LOW","IN","IN","IN","LOW","HIGH","ELIM",,
"Katie","IN","IMM","IN","IN","IN","IN","IMM","LOW","IN","WIN","WIN","WIN","IN","LOW","IN","IN","LOW","LOW","IN","WIN","ELIM",,,,
"Nathan","LOW","WIN","IN","IN","IN","LOW","IN","WIN","IN","IN","WIN","NPT","IN","IN","IN","IN","IN","IMM","IN","ELIM",,,,,
"Eric","IN","IN","WIN","IN","LOW","LOW","IN","NPT","HIGH","WIN","LOW","PT","IN","IN","IN","IMM","LOW","ELIM",,,,,,,
"Terry","IN","WIN","WIN","IN","WIN","IN","IMM","PT","IN","IN","PT","PT","WIN","IMM","IN","ELIM",,,,,,,,,
"Diamond","IN","IMM","WIN","IN","IMM","IN","IMM","WIN","IN","IN","WIN","PT","IN","ELIM",,,,,,,,,,,
"Andrea","WIN","IMM","LOW","HIGH","IN","LOW","IN","WIN","IN","IN","WIN","DSQ",,,,,,,,,,,,,
"Alejandro","IN","IN","IN","HIGH","IN","WIN","IMM","WIN","IN","LOW","ELIM",,,,,,,,,,,,,,
"D'Andre","IN","LOW","LOW","IN","IN","IN","IMM","WIN","IN","ELIM",,,,,,,,,,,,,,,
"IN","IMM","WIN","IN","IMM","LOW","LOW","LOW","IN","ELIM",,,,,,,,,,,,,,,,
"Manny","IN","IN","WIN","IN","IN","IN","IMM","ELIM",,,,,,,,,,,,,,,,,
"Lisa-Ann","IN","IMM","WIN","IN","IN","LOW","ELIM",,,,,,,,,,,,,,,,,,
"Brittany","IN","IMM","LOW","IN","ELIM",,,,,,,,,,,,,,,,,,,,
"Barbara","IN","IMM","ELIM",,,,,,,,,,,,,,,,,,,,,,
"Bill","LOW","ELIM",,,,,,,,,,,,,,,,,,,,,,,
"Cassie","ELIM",,,,,,,,,,,,,,,,,,,,,,,,
