"participant","Age","Hometown","Occupation","Status","Winnings"
"Claudia Sandoval","31","La Mesa, California","Events Manager","Winner September 16","5"
"Derrick Peltz","28","Fort Myers, Florida","Drummer","Runner-Up September 16","6"
"Stephen Lee","47","Palm Springs, California","Urban Gardener","Eliminated September 16","9"
"Nicholas ""Nick"" Nappi","31","San Diego, California","Dishwasher Sales Rep","Eliminated September 9","8"
"Katrina Kozar","34","Milwaukee, Wisconsin","Administrative Assistant","Eliminated September 2","5"
"Hetal Vasavada","27","Bloomfield, New Jersey","Startup Developer","Eliminated August 26","4"
"Thomas ""Tommy"" Walton","53","Chicago, Illinois","Fashion Designer","Eliminated August 19","6"
"Olivia Crouppen","25","Thousand Oaks, California","Fashion Stylist","Eliminated August 12","3"
"Michelle ""Shelly"" Flash","32","Brooklyn, New York","Kitchen Assistant","Eliminated August 5","3"
"Christopher Lu","30","Los Angeles, California","Restaurant Manager","Eliminated July 29","3"
"Sara Zacek","29","Baileys Harbor, Wisconsin","Mobile Home Park Manager","Eliminated July 15","1"
"Kerry Prince","37","Greensboro, North Carolina","Human Resources Rep","Eliminated July 8","3"
"Amanda Saab","25","Seattle, Washington","Social Worker","Eliminated July 1","2"
"Charlie Chapman","25","New Orleans, Louisiana","HVAC Technician","Eliminated July 1","2"
"Jesse Romero","29","Baton Rouge, Louisiana","Petroleum Landman","Eliminated June 24","3"
"Veronica Cili","58","Key West, Florida","Beauty Consultant","Eliminated June 24","1"
"Ailsa von Dobeneck","27","Norfolk, Virginia","Assistant Railroad Manager","Eliminated June 17","0"
"Daniel ""Dan"" Collado","29","Chicago, Illinois","Engineer and Model","Withdrew June 17","1"
"Justin Banister","18","New Caney, Texas","High School Student","Eliminated June 10","1"
"Darah Carattini","29","Irvine, California","Amusement Park Guide","Eliminated June 3","0"
"Brianna Watson","24","Worcester, Massachusetts","Hairstylist","Eliminated May 27","0"
"Matthew ""Mateo"" McConnell","38","Atlanta, Georgia","High School Teacher","Eliminated May 27","0"
