participant,04.1,04.2,05,06.1,06.2,07,08.1,08.2,09,10.1,10.2,11.1,11.2,12.1,12.2,13
Whitney,WIN,IN,PT,HIGH,IN,PT,IN,LOW,WIN,HIGH,WIN,LOW,PT,IMM,WIN,WINNER
David,IN,IN,PT,IN,IN,WIN,IN,IN,WIN,IN,IN,WIN,IMM,WIN,IMM,RUNNER-UP
Lee,IN,IN,WIN,IN,IN,PT,WIN,WIN,LOW,IN,LOW,HIGH,IMM,IMM,ELIM,
Sheetal,IN,IN,WIN,IN,IN,WIN,HIGH,LOW,WIN,WIN,LOW,IN,IMM,ELIM,,
Sharone,IN,IN,PT,WIN,CC,WIN,HIGH,IN,WIN,HIGH,IN,LOW,ELIM,,,
Mike,IN,WIN,WIN,IN,LOW,WIN,IN,IN,PT,IN,ELIM,,,,,
Jake,HIGH,IN,WIN,HIGH,WIN,PT,IN,IN,ELIM,,,,,,,
Tracy,IN,IN,WIN,IN,IN,PT,IN,LOW,ELIM,,,,,,,
Slim,IN,IN,PT,IN,LOW,WIN,IN,ELIM,,,,,,,,
Tony,IN,IN,WIN,IN,IN,ELIM,,,,,,,,,,
Faruq,IN,LOW,PT,IN,ELIM,,,,,,,,,,,
Jenna,IN,IN,ELIM,,,,,,,,,,,,,
Sheena,HIGH,ELIM,,,,,,,,,,,,,,
