participant,4.1,4.2,5,6.1,6.2,7,8,9.1,9.2,10,11.1,11.2,12,13.1,13.2,14,15.1,15.2,16.1,17.1,17.2,18,19.1,19.2,20,21.1,21.2,22.1,22.2,23,24.1,24.2,25
Luca,IN,IN,WIN,WIN,IMM,LOW,PT,IN,IN,WIN,IN,LOW,NPT,IN,IN,PT,IN,IN,WIN,WIN,IMM,IMM,HIGH,IN,WIN,HIGH,WIN,WIN,IMM,WIN,LOW,IN,WINNER
Natasha,WIN,IMM,WIN,IN,IN,LOW,WIN,IN,IN,NPT,IN,WIN,WIN,IN,IN,WIN,HIGH,WIN,WIN,HIGH,WIN,IMM,IN,WIN,WIN,IN,IN,IN,PT,WIN,HIGH,WIN,RUNNER-UP
Jessie,IN,WIN,WIN,IN,LOW,WIN,IMM,IN,WIN,WIN,HIGH,IN,NPT,IN,WIN,WIN,IN,IN,LOW,HIGH,LOW,IMM,IN,LOW,WIN,HIGH,HIGH,WIN,IMM,PT,WIN,ELIM,
Krissi,HIGH,IN,PT,IN,IN,PT,IMM,IN,WIN,NPT,IN,LOW,IMM,IN,LOW,PT,HIGH,IN,NPT,IN,WIN,IMM,WIN,IMM,LOW,IN,IN,IN,PT,ELIM,,,
James,IN,IN,NPT,HIGH,IN,WIN,IMM,IN,IN,LOW,IN,WIN,NPT,IN,LOW,WIN,IN,LOW,WIN,IN,IN,IMM,IN,IN,PT,WIN,IMM,IN,ELIM,,,,
Bri,IN,IN,WIN,IN,IN,PT,IMM,IN,IN,WIN,IN,IN,IMM,WIN,IMM,LOW,IN,WIN,ELIM,,,RET,IN,WIN,ELIM,,,,,,,,
Jordan,IN,WIN,NPT,IN,IN,NPT,IMM,HIGH,IN,PT,IN,IN,WIN,IN,IN,NPT,IN,LOW,PT,IN,IN,IMM,HIGH,ELIM,,,,,,,,,
Eddie,IN,IN,PT,IN,IN,WIN,IMM,WIN,IMM,WIN,IN,IN,WIN,HIGH,IN,WIN,WIN,IMM,WIN,IN,ELIM,,,,,,,,,,,,
Bethy,IN,IN,WIN,IN,WIN,WIN,IMM,IN,IN,LOW,IN,IN,WIN,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,,,
Savannah,IN,IMM,LOW,IN,IN,WIN,IMM,IN,IN,WIN,IN,IN,WIN,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,
Lynn,IN,IN,WIN,IN,IN,WIN,IMM,IN,LOW,WIN,WIN,IMM,PT,IN,ELIM,,,,,,,,,,,,,,,,,,
Jonny,IN,IN,LOW,IN,IN,WIN,IMM,IN,LOW,NPT,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,,,,
Beth,IN,IN,WIN,HIGH,IN,LOW,WIN,IN,LOW,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,
Bime,HIGH,IN,WIN,IN,WIN,NPT,IMM,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,
Howard,IN,LOW,NPT,LOW,IN,WIN,IMM,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,
Kathy,IN,IN,PT,IN,LOW,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm,IN,LOW,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriana,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
