participant,2.1,2.2,3,4.1,4.2,5,6.1,6.2,7.1,7.2,8,9.1,9.2,10,11.1,11.2,12,13.1,13.2,14.1,14.2,15,16.1,16.2,17,18.1,18.2,19
Courtney,WIN,IMM,PT,IN,LOW,WIN,IN,WIN,IMM,IMM,WIN,HIGH,IN,WIN,IN,WIN,NPT,IN,IMM,WIN,IMM,PT,HIGH,WIN,WIN,IN,PT,WINNER
Elizabeth,IN,IMM,WIN,IN,IN,WIN,WIN,IMM,IN,IMM,WIN,HIGH,WIN,WIN,HIGH,IN,WIN,WIN,IMM,IN,IN,WIN,WIN,IMM,WIN,WIN,IMM,RUNNER-UP
Leslie,IN,IMM,PT,IN,WIN,PT,IN,IN,IN,IMM,PT,IN,IN,LOW,WIN,IMM,PT,WIN,IMM,HIGH,WIN,WIN,IN,LOW,PT,IN,ELIM,
Cutter,LOW,IMM,WIN,IN,LOW,WIN,IN,IN,LOW,LOW,LOW,IN,LOW,PT,IN,IN,WIN,LOW,PT,IN,IN,WIN,IN,HIGH,ELIM,,,
Christian,IN,IMM,NPT,HIGH,IN,NPT,IN,IN,LOW,PT,WIN,WIN,IMM,PT,IN,IN,NPT,IN,IMM,HIGH,LOW,LOW,HIGH,ELIM,,,,
Jaimee,IN,IMM,PT,IN,IN,NPT,IN,IN,IN,IMM,WIN,IN,IN,WIN,IN,WIN,WIN,LOW,LOW,IN,WIN,ELIM,,,,,,
Willie,HIGH,IN,WIN,IN,IN,WIN,IN,IN,IN,IMM,PT,IN,IN,PT,IN,LOW,WIN,LOW,PT,IN,ELIM,,,,,,,
Daniel,IN,IN,LOW,IN,IN,NPT,IN,IN,IN,IMM,NPT,IN,IN,WIN,IN,LOW,WIN,LOW,ELIM,,,,,,,,,
Ahran,IN,IMM,WIN,WIN,IMM,NPT,HIGH,IN,IN,IMM,WIN,IN,WIN,PT,IN,IN,ELIM,,,,,,,,,,,
Victoria,IN,IN,WIN,IN,IN,WIN,HIGH,IN,WIN,IMM,NPT,IN,IN,WIN,HIGH,IN,ELIM,,,,,,,,,,,
Francis L.,IN,IMM,WIN,IN,WIN,WIN,IN,IN,LOW,IMM,NPT,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,
Christine,IN,IN,WIN,IN,IN,NPT,IN,IN,WIN,IMM,WIN,IN,IN,ELIM,,,,,,,,,,,,,,
Elise,IN,IMM,LOW,IN,IN,WIN,IN,IN,LOW,IMM,WIN,IN,ELIM,,,,,,,,,,,,,,,
Dan,IN,LOW,NPT,IN,IN,WIN,IN,IN,LOW,LOW,ELIM,,,,,,,,,,,,,,,,,
Francis B.,IN,WIN,WIN,HIGH,IMM,LOW,IN,IN,LOW,ELIM,,,,,,,,,,,,,,,,,,
Tyler,IN,IN,WIN,IN,IN,NPT,IN,DSQ,,,,,,,,,,,,,,,,,,,,
Jordan,IN,IN,LOW,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,
Kira,IN,IMM,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,
Gordon,IN,IMM,NPT,WDR,,,,,,,,,,,,,,,,,,,,,,,,
Stephani,IN,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,
Whitney,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,
