"participant","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Aquaria","SAFE","SAFE","SAFE","WIN","SAFE","SAFE","WIN","LOW","HIGH","LOW","WIN","SAFE","Guest","Winner"
"Eureka","SAFE","BTM2","HIGH","SAFE","WIN","WIN","HIGH","SAFE","BTM2","HIGH","HIGH","SAFE","Guest","Runner-up"
"Kameron Michaels","SAFE","HIGH","LOW","HIGH","SAFE","HIGH","SAFE","WIN","BTM2","BTM2","BTM2","SAFE","Guest","Runner-up"
"Asia O'Hara","SAFE","SAFE","WIN","LOW","SAFE","SAFE","LOW","BTM2","WIN","HIGH","HIGH","SAFE","Guest","Eliminated"
"Miz Cracker","HIGH","HIGH","SAFE","HIGH","HIGH","LOW","SAFE","SAFE","LOW","WIN","ELIM",,"Guest","Guest"
"Monét X Change","SAFE","HIGH","SAFE","BTM2","BTM2","HIGH","HIGH","HIGH","HIGH","ELIM",,,"Guest","Miss C"
"The Vixen","SAFE","WIN","SAFE","SAFE","LOW","BTM2","BTM2","ELIM",,,,,"Guest","Guest"
"Monique Heart","SAFE","LOW","SAFE","SAFE","HIGH","SAFE","ELIM",,,,,,"Guest","Guest"
"Blair St. Clair","HIGH","HIGH","HIGH","SAFE","SAFE","ELIM",,,,,,,"Guest","Guest"
"Mayhem Miller","WIN","HIGH","BTM2","SAFE","ELIM",,,,,,,,"Guest","Guest"
"Dusty Ray Bottoms","LOW","SAFE","SAFE","ELIM",,,,,,,,,"Guest","Guest"
"Yuhua Hamasaki","HIGH","SAFE","ELIM",,,,,,,,,,"Guest","Guest"
"Kalorie Karbdashian Williams","BTM2","ELIM",,,,,,,,,,,"Guest","Guest"
"Vanessa Vanjie Mateo","ELIM",,,,,,,,,,,,"Guest","Guest"
