"participant","1","2","3","4","5","6","7","8","9","11","12"
"Tyra Sanchez","HIGH","HIGH","WIN","SAFE","WIN","LOW","HIGH","HIGH","WIN","Winner","Guest"
"Raven","SAFE","BTM2","BTM2","SAFE","HIGH","HIGH","WIN","WIN","HIGH","Runner-up","Guest"
"Jujubee","SAFE","HIGH","SAFE","LOW","HIGH","BTM2","HIGH","BTM2","BTM2","Eliminated","Guest"
"Tatianna ","SAFE","LOW","SAFE","WIN","SAFE","SAFE","BTM2","HIGH","ELIM",,"Guest"
"Pandora Boxx","HIGH","SAFE","HIGH","HIGH","LOW","HIGH","LOW","ELIM",,,"Miss C"
"Jessica Wild","SAFE","HIGH","HIGH","SAFE","HIGH","WIN","ELIM",,,,"Guest"
"Sahara Davenport","BTM2","WIN","SAFE","SAFE","BTM2","ELIM",,,,,"Guest"
"Morgan McMichaels","WIN","SAFE","SAFE","BTM2","ELIM",,,,,,"Guest"
"Sonique","SAFE","LOW","SAFE","ELIM",,,,,,,"Guest"
"Mystique Summers Madison","LOW","HIGH","ELIM",,,,,,,,"Guest"
"Nicole Paige Brooks","SAFE","ELIM",,,,,,,,,"Guest"
"Shangela Laquifa Wadley","ELIM",,,,,,,,,,"Guest"
