"participant","1 ","2 ","3 ","4 ","5 ","6 ","7","8","9","10"
"Bob the Drag Queen","SAFE","SAFE","WIN","SAFE","WIN","SAFE","WIN","BTM2","SAFE","Winner"
"Kim Chi","WIN","LOW","SAFE","HIGH","SAFE","HIGH","SAFE","WIN","SAFE","Runner-up"
"Naomi Smalls","SAFE","SAFE","SAFE","HIGH","BTM2","WIN","SAFE","HIGH","SAFE","Runner-up"
"Chi Chi DeVayne","SAFE","WIN","SAFE","BTM2","SAFE","LOW","BTM2","HIGH","ELIM","Guest"
"Derrick Barry","HIGH","SAFE","LOW","LOW","HIGH","BTM2","WIN","ELIM",,"Guest"
"Thorgy Thor","SAFE","HIGH","HIGH","SAFE","HIGH","SAFE","ELIM",,,"Guest"
"Robbie Turner","LOW","SAFE","BTM2","WIN","LOW","ELIM",,,,"Guest"
"Acid Betty","HIGH","HIGH","HIGH","SAFE","ELIM",,,,,"Guest"
"Naysha Lopez","ELIM",,"SAFE","ELIM",,,,,,"Guest"
"Cynthia Lee Fontaine","SAFE","SAFE","ELIM",,,,,,,"Miss C"
"Dax ExclamationPoint","SAFE","ELIM",,,,,,,,"Guest"
"Laila McQueen","BTM2","ELIM",,,,,,,,"Guest"
