"participant","Name","Age","Hometown","Outcome"
"Sasha Velour","Sasha Steinberg","29",", ","Winner"
"Peppermint","Agnes Moore","37",", New York","Runner-up"
"Shea Couleé","Jaren Merrell","27",", ","3rd/4th Place"
"Trinity Taylor","Ryan Taylor","31",", ",
"Alexis Michelle","Alex Michaels","32","New York, New York","5th Place"
"Nina Bo'nina Brown","Pierre Leverne Dease","34",", ","6th Place"
"Valentina","James Andrew Leyva","25",", ","7th Place"
"Farrah Moan","Cameron Clayton","23",", ","8th Place"
"Aja","Jay Rivera","22","Brooklyn, New York","9th Place"
"Cynthia Lee Fontaine","Carlos Diaz","35",", ","10th Place"
"Eureka","David Huggard","25",", ","11th Place"
"Charlie Hides","Charlie Hides","52",", ","12th Place"
"Kimora Blac","Von Nguyen","27","Las Vegas, Nevada","13th Place"
"Jaymes Mansfield","James Wirth","26",", ","14th Place"
