participant,2,3,4,5,6,7,8,9,10,11,12,13,14
SAFE,SAFE,SAFE,,SAFE,SAFE,,LOW,HIGH,LOW,,SAFE,Guest,Winner
SAFE,BTM2,HIGH,SAFE,,,HIGH,SAFE,BTM2,HIGH,HIGH,SAFE,Guest,Runner-up
SAFE,HIGH,LOW,HIGH,SAFE,HIGH,SAFE,,BTM2,BTM2,BTM2,SAFE,Guest,Runner-up
SAFE,SAFE,,LOW,SAFE,SAFE,LOW,BTM2,,HIGH,HIGH,SAFE,Guest,Eliminated
HIGH,HIGH,SAFE,HIGH,HIGH,LOW,SAFE,SAFE,LOW,,ELIM,,Guest,Guest
SAFE,HIGH,SAFE,BTM2,BTM2,HIGH,HIGH,HIGH,HIGH,ELIM,,,Guest,Miss C
SAFE,,SAFE,SAFE,LOW,BTM2,BTM2,ELIM,,,,,Guest,Guest
SAFE,LOW,SAFE,SAFE,HIGH,SAFE,ELIM,,,,,,Guest,Guest
HIGH,HIGH,HIGH,SAFE,SAFE,ELIM,,,,,,,Guest,Guest
LOW,SAFE,SAFE,ELIM,,,,,,,,,Guest,Guest
HIGH,SAFE,ELIM,,,,,,,,,,Guest,Guest
BTM2,ELIM,,,,,,,,,,,Guest,Guest
ELIM,,,,,,,,,,,,Guest,Guest
