participant,Age,Hometown,Outcome
James Ross,21,Orlando, Florida,Winner
David Petruschin,30,Riverside, California,Runner-up
Airline Inthyrath,25,Boston, Massachusetts,3rd Place
Joey Santolini,21,,4th Place
Michael Steck,37,Rochester, New York,5th Place
José David Sierra,29,San Juan, Puerto Rico,6th Place
Antoine Ashley,25,New York,7th Place
Thomas White,28,Mira Loma,8th Place
Jason Edwards,26,Atlanta, Georgia,9th Place
Donte Sims,25,Bedford, Texas,10th Place
Brian Christopher Pryor,36,Atlanta, Georgia,11th Place
D.J. Pierce,28,Los Angeles,12th Place
