participant,Age,Hometown,Outcome
Sasha Steinberg,29,Brooklyn,Winner
Agnes Moore,37,New York,Runner-up
Jaren Merrell,27,Chicago,3rd/4th Place
Ryan Taylor,31,Orlando,
Alex Michaels,32,New York, New York,5th Place
Pierre Leverne Dease,34,Riverdale,6th Place
James Andrew Leyva,25,Echo Park,7th Place
Cameron Clayton,23,Las Vegas,8th Place
Jay Rivera,22,Brooklyn, New York,9th Place
Carlos Diaz,35,Austin,10th Place
David Huggard,25,Johnson City,11th Place
Charlie Hides,52,Boston,12th Place
Von Nguyen,27,Las Vegas, Nevada,13th Place
James Wirth,26,Milwaukee,14th Place
