"participant","12","2","3","4","5","6","7","84","9","11","12"
"Harold","WIN","IN","LOW","HIGH","LOW","IN","HIGH","IN","HIGH","HIGH","WINNER"
"Tiffani","HIGH","IN","LOW","WIN","WIN","HIGH","HIGH","IN","HIGH","LOW","RUNNER-UP"
"Dave","IN","LOW","LOW","IN","WIN","LOW","WIN","IN","WIN","OUT",
"Lee Anne","IN","IN","LOW","IN","HIGH","WIN","LOW","IN","OUT",,
"Stephen","HIGH","HIGH","WIN","LOW","HIGH","HIGH","LOW","OUT",,,
"Miguel","IN","WIN","WIN","IN","LOW","LOW","OUT",,,,
"Andrea","LOW","OUT","WIN3","HIGH","LOW","OUT",,,,,
"Lisa","IN","LOW","WIN","LOW","OUT",,,,,,
"Candice","LOW","IN","WIN","OUT",,,,,,,
"Brian","IN","HIGH","OUT",,,,,,,,
"Cynthia","IN","LOW","WD2",,,,,,,,
"Ken","OUT",,,,,,,,,,
