"participant","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Nicholas","IN","LOW","IN","IN","HIGH","HIGH","LOW","IN","WIN","WIN","IN","LOW","LOW","LOW","LOW","WIN","WINNER"
"Nina","WIN","IN","HIGH","HIGH","LOW","WIN","HIGH","HIGH","IN","IN","LOW","HIGH","WIN","HIGH","HIGH","IN","RUNNER-UP"
"Shirley","IN","IN","IN","WIN","IN","IN","IN","HIGH","IN","IN","WIN","IN","LOW","WIN","WIN","OUT",
"IN","IN","LOW","IN","IN","IN","IN","OUT",,,,,,,,"OUT",,
"Carlos","IN","HIGH","LOW","IN","WIN","IN","HIGH","WIN","IN","HIGH","HIGH","LOW","HIGH","HIGH","OUT",,
"Brian","IN","HIGH","IN","IN","LOW","IN","LOW","IN","IN","LOW","HIGH","HIGH","HIGH","OUT",,,
"Stephanie","IN","IN","HIGH","LOW","IN","IN","WIN","LOW","HIGH","HIGH","LOW","WIN","OUT",,,,
"Carrie","HIGH","WIN","IN","HIGH","IN","IN","HIGH","IN","HIGH","IN","IN","OUT",,,,,
"Justin","IN","IN","WIN","HIGH","IN","HIGH","IN","LOW","LOW","LOW","OUT",,,,,,
"Travis","IN","HIGH","IN","LOW","WIN","LOW","LOW","IN","HIGH","OUT",,,,,,,
"Sara","HIGH","IN","IN","LOW","IN","LOW","IN","IN","OUT",,,,,,,,
"Patty","LOW","LOW","IN","HIGH","HIGH","IN","OUT",,,,,,,,,,
"Bene","IN","IN","IN","LOW","LOW","OUT",,,,,,,,,,,
"Michael","IN","IN","IN","IN","OUT",,,,,,,,,,,,
"Janine","IN","IN","IN","OUT",,,,,,,,,,,,,
"Bret","IN","LOW","OUT",,,,,,,,,,,,,,
"Aaron","LOW","HIGH","OUT",,,,,,,,,,,,,,
"Jason","IN","OUT",,,,,,,,,,,,,,,
"Ramon","OUT",,,,,,,,,,,,,,,,
