"participant","32","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Paul","WIN","IN","WIN","IN","IN","IN","WIN","LOW","WIN","WIN","IN","WIN","WIN","WIN","WINNER"
"Sarah","LOW","WIN","HIGH","IN","IN","WIN","LOW","HIGH","LOW","LOW","LOW","IMM4","WIN","IN","RUNNER-UP"
"Lindsay","LOW","IN","IN","IN","IN","IN","WIN","HIGH","HIGH","HIGH","WIN","LOW","WIN","OUT",
"Beverly","WIN","LOW","IN","IN","LOW","HIGH","LOW","WIN","OUT",,,"HIGH3","OUT",,
"Edward","WIN","IN","IN","LOW","WIN","HIGH","LOW","LOW","HIGH","LOW","LOW","OUT",,,
"Grayson","WIN","IN","HIGH","IN","LOW","LOW","WIN","HIGH","LOW","HIGH","OUT",,,,
"Chris J.","WIN","IN","LOW","HIGH","LOW","IN","LOW","LOW","HIGH","OUT",,,,,
"Ty-Lör","LOW","IN","LOW","LOW","WIN","IN","LOW","OUT",,,,,,,
"Chris C.","IN","WIN","LOW","IN","IN","LOW","OUT",,,,,,,,
"Heather","WIN","IN","IN","WIN","LOW","OUT",,,,,,,,,
"Nyesha","IN","LOW","IN","HIGH","OUT",,,,,,,,,,
"IN","IN","HIGH","IN","OUT",,,,,,,,,,,
"Whitney","IN","IN","IN","OUT",,,,,,,,,,,
"Chuy","WIN","WIN","OUT",,,,,,,,,,,,
"Richie","WIN","OUT",,,,,,,,,,,,,
"Keith","OUT",,,,,,,,,,,,,,
