"participant","Current Residence","Age"
"Telluride, Colorado","Telluride, Colorado","38"
"El Toro, California","Studio City, California","36"
"Washington, D.C.","St. Petersburg, Florida","34"
"Kentwood, Michigan","Boston, Massachusetts","28"
"Waynesville, North Carolina","Dallas, Texas","31"
"Rio de Janeiro, Brazil","Las Vegas, Nevada","43"
"Tampere, Finland","Santa Monica, California","40"
"Hilo, Hawaii","Lahaina, Hawaii","30"
"Miami, Florida","San Francisco, California","37"
"New York, New York","Dallas, Texas","54"
"Del City, Oklahoma","Dallas, Texas","33"
"Roeselare, Belgium","Washington, D.C.","42"
"Denver, Colorado","Denver, Colorado","41"
"Los Angeles, California","Redondo Beach, California","34"
"Maebashi, Japan","Los Angeles, California","35"
