"participant","Current Residence"
"Fatima Ali","New York, New York"
"Tyler Anderson","Simsbury, Connecticut"
"Carrie Baird","Denver, Colorado"
"Adrienne Cheatham","New York, New York"
"Laura Cole","Denali National Park, Alaska"
"Joseph Flamm","Chicago, Illinois"
"Rogelio Garcia","San Francisco, California"
"Tanya Holland","Oakland, California"
"Bruce Kalman","Los Angeles, California"
"Brother Luck","Colorado Springs, Colorado"
"Melissa Perfit","San Francisco, California"
"Tu David Phu","Oakland, California"
"Joe Sasto III","Los Angeles, California"
"Christopher ""Chris"" Scott","Brooklyn, New York"
"Claudette Zepeda-Wilkins","San Diego, California"
