"participant","Hometown","Current Residence","Age"
"Amanda Baumgarten","Los Angeles, California","Los Angeles, California","27"
"Tracey Bloom","Rochester, New York","Atlanta, Georgia","33"
"Ed Cotton","Boston, Massachusetts","Queens, New York","32"
"Andrea Curto-Randazzo","Vero Beach, Florida","Miami Beach, Florida","39"
"Timothy ""Tim"" Dean","Washington, D.C.","Baltimore, Maryland","39"
"Tiffany Derry","Beaumont, Texas","Dallas, Texas","26"
"Lynne Gigliotti","Philadelphia, Pennsylvania","Hyde Park, New York","51"
"Kenny Gilbert","Euclid, Ohio","Telluride, Colorado","36"
"Stephen Hopcraft","Cleveland, Ohio","Las Vegas, Nevada","40"
"Kelly Liken","Pittsburgh, Pennsylvania","Vail, Colorado","33"
"Jacqueline Lombard","Boston, Massachusetts","Brooklyn, New York","33"
"Arnold Myint","Nashville, Tennessee","Nashville, Tennessee","32"
"Alex Reznik","Brooklyn, New York","Hollywood, California","33"
"Kevin Sbraga","Willingboro, New Jersey","Willingboro, New Jersey","30"
"John Somerville","Detroit, Michigan","West Bloomfield, Michigan","42"
"Angelo Sosa","Durham, Connecticut","New York, New York","34"
"Tamesha Warren","Barbados","Washington, D.C.","24"
