"participant","Age","Season","Original Placement"
"Elia Aboumrad","27","Season 2","4th"
"Stephen Asprinio","29","Season 1","5th"
"Richard Blais","38","Season 4","Runner-up"
"Jennifer Carroll","35","Season 6","4th"
"Tiffany Derry","27","Season 7","5th"
"Tiffani Faison","33","Season 1","Runner-up"
"Carla Hall","46","Season 5","Runner-up"
"Mike Isabella","35","Season 6","7th"
"Jamie Lauren","32","Season 5","7th"
"Dale Levitski","37","Season 3","Runner-up"
"Antonia Lofaso","34","Season 4","4th"
"Spike Mendelsohn","29","Season 4","5th"
"Angelo Sosa","35","Season 7","Runner-up"
"Dale Talde","32","Season 4","6th"
"Casey Thompson","32","Season 3","Runner-up"
"Marcel Vigneron","30","Season 2","Runner-up"
"Fabio Viviani","32","Season 5","4th"
"Tre Wilcox","34","Season 3","8th"
