participant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Jeremy,WIN,IN,HIGH,WIN,IN,IN,IN,HIGH,LOW,LOW,LOW,LOW,WIN,IN,WINNER
Amar,HIGH,HIGH,IN,IN,IN,HIGH,IN,HIGH,LOW,LOW,WIN,IN,OUT,WIN,RUNNER-UP
Isaac,IN,HIGH,IN,IN,IN,LOW,IN,LOW,WIN,WIN,IN,IN,LOW,OUT,
Marjorie,IN,WIN,IN,IN,IN,IN,WIN,LOW,HIGH,HIGH,LOW,HIGH,LOW,OUT,
Carl,HIGH,IN,IN,IN,IN,IN,HIGH,IN,HIGH,HIGH,HIGH,WIN,OUT,,
Kwame,IN,IN,WIN,IN,WIN,HIGH,LOW,IN,LOW,LOW,HIGH,OUT,,,
Karen,IN,IN,HIGH,HIGH,LOW,WIN,IN,IN,HIGH,HIGH,OUT,,,,
Phillip,IN,LOW,IN,IN,LOW,IN,LOW,WIN,OUT,OUT,,,,,
Chad,IN,IN,IN,IN,IN,IN,HIGH,OUT,,,,,,,
Jason,IN,IN,IN,IN,IN,LOW,OUT,,,,,,,,
Wesley,IN,IN,LOW,IN,HIGH,OUT,,,,,,,,,
Angelina,LOW,HIGH,LOW,LOW,IN,OUT,,,,,,,,,
Giselle,IN,IN,IN,IN,OUT,,,,,,,,,,
Grayson,LOW,LOW,IN,OUT,,,,,,,,,,,
Frances,IN,LOW,OUT,,,,,,,,,,,,
Renee,IN,OUT,,,,,,,,,,,,,
Garret,OUT,,,,,,,,,,,,,,
