participant,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Joseph,IN,IN,IN,LOW,IN,IN,HIGH,WIN,OUT,HIGH,IN,WIN,WINNER,
Adrienne,LOW,LOW,LOW,IN,IN,LOW,IN,HIGH,LOW,HIGH,HIGH,WIN,LOW,RUNNER-UP
Joe,IN,IN,WIN,HIGH,IN,LOW,WIN,LOW,LOW,WIN,WIN,IN,OUT,
Carrie,LOW,WIN,IN,IN,HIGH,IN,IN,HIGH,WIN,HIGH,LOW,OUT,,
Chris,HIGH,HIGH,LOW,WIN,LOW,IN,LOW,LOW,WIN,LOW,OUT,,,
Bruce,IN,IN,LOW,LOW,WIN,HIGH,HIGH,HIGH,LOW,OUT,,,,
Fatima,HIGH,HIGH,HIGH,IN,IN,IN,IN,LOW,OUT,,,,,
Claudette,IN,OUT,IN,HIGH,LOW,OUT,,,,,,,,
Tanya,IN,HIGH,IN,HIGH,LOW,WIN,OUT,,,,,,,
Brother,IN,IN,LOW,IN,IN,OUT,,,,,,,,
Lee Anne,HIGH,WD,,,,,,,,,,,,
Tu,IN,IN,LOW,IN,OUT,,,,,,,,,
Tyler,WIN,LOW,HIGH,OUT,,,,,,,,,,
Rogelio,IN,LOW,OUT,,,,,,,,,,,
Laura,IN,HIGH,OUT,,,,,,,,,,,
Melissa,OUT,,,,,,,,,,,,,
