participant,1,2,3,4,5,6,7,8,9,10,11,12,13
Ilan,WIN,LOW,IN,IN,WIN,IN,IN,HIGH,LOW,IN,HIGH,LOW,WINNER
Marcel,LOW,LOW,IN,HIGH,IN,HIGH,IN,HIGH,LOW,IN,LOW,WIN,RUNNER-UP
Sam,IN,HIGH,HIGH,LOW,HIGH,IN,LOW,WIN,HIGH,LOW,HIGH,OUT,
HIGH,LOW,IN,IN,LOW,WIN,WIN,LOW,HIGH,IN,LOW,OUT,,
Cliff,IN,LOW,HIGH,LOW,HIGH,IN,LOW,LOW,IN,LOW,DQ,,
Michael,IN,HIGH,LOW,LOW,HIGH,LOW,IN,LOW,WIN,OUT,,,
Betty,HIGH,WIN,WIN,HIGH,LOW,LOW,HIGH,HIGH,OUT,,,,
Mia,HIGH,HIGH,IN,LOW,LOW,IN,HIGH,WD,,,,,
Frank,IN,LOW,LOW,WIN,IN,IN,OUT,,,,,,
Carlos,LOW,HIGH,IN,LOW,LOW,OUT,,,,,,,
Marisa,IN,LOW,IN,LOW,OUT,,,,,,,,
IN,HIGH,IN,IN,OUT,,,,,,,,,
Emily,IN,HIGH,OUT,,,,,,,,,,
Otto,LOW,WD,,,,,,,,,,,
Suyai,OUT,,,,,,,,,,,,
