participant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Richard,HIGH,WIN,IN,HIGH,IN,LOW,WIN,IN,IN,HIGH,WIN,IN,HIGH,IN,WIN,WINNER
Mike,IN,IN,IN,IN,IN,HIGH,LOW,LOW,IN,IN,HIGH,IN,WIN,WIN,IN,RUNNER-UP
Antonia,IN,LOW,HIGH,HIGH,LOW,IN,LOW,WIN,HIGH,HIGH,HIGH,WIN,LOW,IN,OUT,
Tiffany,IN,LOW,IN,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,IN,LOW,OUT,,
Carla,IN,IN,IN,WIN,LOW,WIN,HIGH,HIGH,WIN,LOW,LOW,IN,OUT,,,
Dale T.,IN,IN,WIN,IN,WIN,HIGH,HIGH,LOW,LOW,WIN,OUT,,,,,
Angelo,WIN,WIN,HIGH,IN,HIGH,HIGH,LOW,IN,HIGH,OUT,,,,,,
Fabio,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,OUT,,,,,,,
Tre,IN,LOW,HIGH,LOW,LOW,HIGH,HIGH,OUT,,,,,,,,
Marcel,IN,WIN,IN,IN,IN,LOW,OUT,,,,,,,,,
Jamie,HIGH,IN,IN,IN,LOW,OUT,,,,,,,,,,
IN,IN,LOW,IN,IN,OUT,,,,,,,,,,,
Casey,IN,IN,IN,LOW,OUT,,,,,,,,,,,
Spike,HIGH,IN,IN,OUT,,,,,,,,,,,,
Dale L.,IN,IN,OUT,,,,,,,,,,,,,
LOW,HIGH,OUT,,,,,,,,,,,,,,
Jennifer,IN,OUT,,,,,,,,,,,,,,
Elia,OUT,,,,,,,,,,,,,,,
